# IPFilter.dat
#
# All entered IP ranges will be blocked in eMule Plus for both Upload and Download.
# Be extremely careful with what you put here.
# Wrong entries might block eMule Plus from performing well.
#
# Format:
# IP-Range , Access Level , Description
# 000.000.000.000 - 000.255.255.255 , 100 , LOW_ID (invalid)
#
# Access Levels:
# <  127 blocked
# >= 127 permitted

195.014.000.000 - 195.015.037.255 , 100 , netcologne.de and netblock of bsa.lt (nslookup www.bsa.lt) and bsa.it and EMI Electrola GmbH (Germany)
195.020.032.099 - 195.020.032.099 , 100 , MPAA
195.029.168.000 - 195.029.168.255 , 100 , netblock of bsa.hr (nslookup www.bsa.hr)
195.037.192.000 - 195.037.207.255 , 100 , Regierung
195.040.000.128 - 195.040.000.255 , 100 , IFPI
195.040.001.000 - 195.040.001.255 , 100 , IFPI
195.040.039.005 - 195.040.039.005 , 100 , IFPI (mail)
195.042.192.000 - 195.042.192.255 , 100 , Antipiracybyra Sweden
195.046.218.178 - 195.046.218.178 , 100 , French Military Police
195.068.059.001 - 195.068.059.007 , 100 , ADAMI (Society of civil rights for performing artists, France)
195.076.172.000 - 195.076.172.255 , 100 , Direccion General de la Policia (SPAIN)
195.076.204.034 - 195.076.204.034 , 100 , Ministerio del Interior (Spain)
195.076.238.000 - 195.076.238.255 , 100 , SGAE
195.101.232.000 - 195.101.232.255 , 100 , Interpol
195.102.060.040 - 195.102.060.050 , 100 , Alpa Association
195.121.011.142 - 195.121.011.142 , 100 , MGM.COM
195.122.136.008 - 195.122.136.008 , 100 , Puk Recording Studios/Gjerlev,Denmark
195.141.090.004 - 195.141.090.063 , 100 , Beaulieu Software sarl
195.142.192.000 - 195.142.192.255 , 100 , Antipiracybyra Sweden
195.143.092.132 - 195.143.092.188 , 100 , BMG Ariola München GmbH (Germany)
195.154.072.000 - 195.154.072.255 , 100 , Sacem
195.215.006.042 - 195.215.006.042 , 100 , Gigasoft
195.222.252.000 - 195.222.252.127 , 100 , Edel Records GmbH (Hamburg/Germany)
195.228.224.000 - 195.228.229.255 , 100 , www.bsa.hu
195.243.162.000 - 195.243.162.255 , 100 , netblock of bsa.de (nsloopup www.bsa.de) and BSA.or.at.de.ch and host of bsa.ch
196.002.128.000 - 196.002.159.255 , 100 , BSA.co.za
198.066.034.066 - 198.066.034.066 , 100 , Red Led Studios / Madrid,Spain
198.070.114.000 - 198.070.114.255 , 100 , MPAA
198.190.209.000 - 198.190.209.255 , 100 , Federal Bureau of Investigation
199.095.206.000 - 199.095.209.255 , 100 , Double Click
200.004.218.038 - 200.004.218.038 , 100 , BSAPERU.org
200.059.091.010 - 200.059.091.010 , 100 , MSN Popup
200.075.000.000 - 200.075.255.255 , 100 , imedia
200.157.042.051 - 200.157.042.051 , 100 , LACNIC-200
200.163.190.151 - 200.163.190.151 , 100 , MSN Popup
202.039.048.000 - 202.039.048.255 , 100 , BSA.org.tw
202.044.041.084 - 202.044.041.084 , 100 , Secret paysite passwords .html
202.103.038.000 - 202.103.038.063 , 100 , Wuhan Research Institute of Posts and Telecommunications
202.139.113.106 - 202.139.113.106 , 100 , Festival Mushroom Records/Sydney Au
202.139.224.000 - 202.139.255.255 , 100 , BSAA.com.au
203.022.000.000 - 203.022.015.255 , 100 , Communications and Entertainment Television Pty Ltd
203.026.016.000 - 203.026.031.255 , 100 , bsa.com.au
203.147.240.000 - 203.147.240.255 , 100 , BSA.com.au (host of www.bsaa.au)
204.092.244.000 - 204.092.244.255 , 100 , Ranger
204.178.112.160 - 204.178.112.191 , 100 , Double Click
205.138.003.000 - 205.138.003.255 , 100 , Double Click
205.150.075.000 - 205.150.075.255 , 100 , CAAST.org
205.170.026.000 - 205.170.026.255 , 100 , media signature Tomas Jablonski
205.229.233.000 - 205.229.233.255 , 100 , Federal Bureau of Investigation
206.129.000.000 - 206.129.000.255 , 100 , Interliant
206.129.001.000 - 206.129.001.255 , 100 , BESS
206.241.030.000 - 206.241.031.255 , 100 , US Customs
206.245.128.000 - 206.245.128.255 , 100 , Warner Music Group (206.245.64.0 - 206.245.127.255)
207.043.055.000 - 207.043.055.255 , 100 , Federal Bureau of Investigation
207.044.222.047 - 207.044.222.047 , 100 , Everyones Internet, Inc.
207.079.074.222 - 207.079.074.222 , 100 , R. R. Donnelly (Harvesting/Marketing)
207.095.032.000 - 207.095.047.255 , 100 , host of www.spa.org + www.siia.net
207.139.069.000 - 207.139.069.255 , 100 , www.CAAST.org
207.150.192.000 - 207.150.223.255 , 100 , BSAPERU.org
207.155.128.000 - 207.155.255.255 , 100 , NetPD and Vidius
207.178.128.000 - 207.178.255.255 , 100 , host of www.grammy.com (207.178.164.210)
208.050.066.224 - 208.050.066.255 , 100 , MPAA
208.162.216.000 - 208.162.219.255 , 100 , IRMA
208.192.000.000 - 208.192.255.255 , 100 , RIAA Pathlink Technology
208.196.168.000 - 208.196.175.255 , 100 , The Allegro Group
208.207.098.025 - 208.207.098.025 , 100 , RIAA
208.209.002.110 - 208.209.002.113 , 100 , RIAA
208.218.191.010 - 208.218.191.010 , 100 , UUnet Technologies-RIAA ??
208.225.090.000 - 208.225.090.255 , 100 , RIAA
208.229.253.049 - 208.229.253.049 , 100 , riaa
208.244.233.000 - 208.244.233.255 , 100 , Skywalker Sound/Marin County, CA
208.251.137.000 - 208.251.137.255 , 100 , MediaForce
209.067.000.000 - 209.067.255.255 , 100 , MPAA and Cable & Wireless and Double Click
209.068.004.000 - 209.068.004.255 , 100 , Grayzone.com
209.122.130.000 - 209.122.130.255 , 100 , BayTSP
209.132.098.000 - 209.132.098.255 , 100 , Web Sense
209.132.099.000 - 209.132.099.255 , 100 , Web Sense
209.203.064.000 - 209.203.127.255 , 100 , Warner Music Group
209.204.128.000 - 209.204.253.255 , 100 , BayTSP (Sonic.net InHouseA) (p2p monitoring)
209.255.006.077 - 209.255.006.077 , 100 , bannerfarm.ace.advertising
210.077.155.000 - 210.077.158.255 , 100 , CHINESEBSA.org
210.160.094.192 - 210.160.094.199 , 100 , ACCS
212.001.049.000 - 212.001.049.031 , 100 , Universal Entertainment GmbH, Berlin/Germany (Universal Music Group)
212.018.032.000 - 212.018.047.255 , 100 , netblock of bsa.si (nslookup www.bsa.si)
212.019.195.008 - 212.019.195.008 , 100 , politie.nl
212.037.044.052 - 212.037.044.052 , 100 , Single IP ?
212.037.044.151 - 212.037.044.151 , 100 , Single IP ?
212.037.045.000 - 212.037.045.015 , 100 , DR3NET
212.037.047.000 - 212.037.047.015 , 100 , DR3NAT and DR4NET
212.079.056.128 - 212.079.056.187 , 100 , Warner Music (Germany)
212.083.174.091 - 212.083.174.091 , 100 , Restpan Fighter (Good this one)
212.098.253.000 - 212.098.253.255 , 100 , BSA.org.tr
212.105.232.128 - 212.105.232.159 , 100 , BSA.hu
212.107.032.000 - 212.107.035.191 , 100 , BSA.ee
212.123.028.000 - 212.123.028.255 , 100 , www.arsproductions.com
212.123.224.160 - 212.123.224.191 , 100 , SickofPolice and BumaStemra
212.131.000.000 - 212.131.255.255 , 100 , BSA.it
212.152.174.000 - 212.152.174.127 , 100 , KOCH International Multimedia
212.227.116.140 - 212.227.116.140 , 100 , MG Sound Studios/Vienna,Austria
213.037.086.014 - 213.037.086.014 , 100 , Single IP ?
213.037.086.108 - 213.037.086.108 , 100 , Single IP ?
213.061.148.000 - 213.061.148.255 , 100 , Audiofon Chat & Play GmbH
213.068.248.000 - 213.068.248.127 , 100 , KOS-Online Internetdienstleistungen
213.083.174.091 - 213.083.174.091 , 100 , Retspan (Chat Warning)
213.150.032.000 - 213.150.063.255 , 100 , APG and Scan Error
213.183.177.000 - 213.183.177.255 , 100 , nordCom (test network for automatet process)
213.186.035.203 - 213.186.035.203 , 100 , Capri Digital Studios/Isle of Capri, Italy
213.210.018.000 - 213.210.018.255 , 100 , Zomba Records
213.229.017.088 - 213.229.017.095 , 100 , Meyer Ernst u Wilhelmine, Meyer-Holz Wood-Industries
214.000.000.000 - 214.255.255.255 , 100 , DoD Network Information Center
215.000.000.000 - 215.255.255.255 , 100 , DoD Network Information Center (More)
216.035.073.128 - 216.035.073.159 , 100 , OverPeer
216.046.246.238 - 216.046.246.238 , 100 , hexillion (email harvesting)
216.052.242.000 - 216.052.242.255 , 100 , Warner Music Group (216.52.242.0-216.52.242.255)
216.064.128.000 - 216.064.191.255 , 100 , Time Warner Telecom
216.073.080.000 - 216.073.095.255 , 100 , DoubleClick
216.074.057.197 - 216.074.057.216 , 100 , n-Case Ad Delivery
216.074.128.000 - 216.074.191.255 , 100 , Cable & Wireless  nd Sony Music Entertainment Inc. and Sony Music Belgium
216.118.066.000 - 216.118.066.255 , 100 , Brussel politie - Police bruxelles
216.120.077.000 - 216.120.077.255 , 100 , AFMA (American Film Marketing Association)
216.122.000.000 - 216.122.255.255 , 100 , Ranger
216.144.224.000 - 216.144.239.255 , 100 , SHA1 Hash Faker
216.146.085.224 - 216.146.085.255 , 100 , Federal Bureau of Investigation
216.194.192.000 - 216.194.255.255 , 100 , IDSA
216.205.094.000 - 216.205.094.255 , 100 , Interliant
216.218.000.000 - 216.218.255.255 , 100 , Audible Magic (copyright breach tracking org)
217.167.182.001 - 217.167.182.255 , 100 , French Department of Defense
217.204.027.212 - 217.204.027.215 , 100 , IFPI
